cod_ncm,hscode,cod_pais_origem,urf_cod,via_transp_cod,sgl_uf_import,city_cod,cidade_import,combinacao_202405
84433910,8443,160,0817800,01,SP,3447809,SANTO ANDRE,0
87082914,8708,160,0817600,04,RS,4304606,CANOAS,0
29159090,2915,160,0817800,01,SP,3405708,BARUERI,0
90189099,9018,160,0717700,04,RJ,3304904,SAO GONCALO,0
85414122,8541,160,0817600,04,SP,3443402,RIBEIRAO PRETO,0
29153100,2915,160,0817800,01,SP,3413009,COTIA,1
90183929,9018,160,0927700,01,RS,4314902,PORTO ALEGRE,0
29332929,2933,160,0817600,04,SP,3412803,COSMOPOLIS,0
29419021,2941,160,0817700,04,SP,3413009,COTIA,0
84431990,8443,160,0817800,01,SP,3424006,ITUPEVA,0
85414021,8541,160,0817700,04,SP,3415004,EMBU,0
87089910,8708,160,0817800,01,MG,3107406,BOM DESPACHO,1
85414021,8541,160,0817700,04,SP,3407001,BOITUVA,0
85416090,8541,160,0817600,04,RS,4305108,CAXIAS DO SUL,1
87089990,8708,160,0817800,01,SP,3438709,PIRACICABA,1
85176241,8517,160,0817600,04,RJ,3304557,RIO DE JANEIRO,0
85412120,8541,160,0817600,04,RS,4305108,CAXIAS DO SUL,1
29221996,2922,160,0817700,04,SP,3436505,PAULINIA,1
87088000,8708,160,0927700,01,RS,4314902,PORTO ALEGRE,0
85414021,8541,160,0817800,01,SP,3443402,RIBEIRAO PRETO,0
29333919,2933,160,0717700,04,RJ,3304201,RESENDE,0
85177190,8517,160,0817800,01,SP,3447809,SANTO ANDRE,1
90181910,9018,160,0817600,04,RJ,3304557,RIO DE JANEIRO,1
85411029,8541,160,0617700,04,MG,3118601,CONTAGEM,1
29337990,2933,160,0817700,04,SP,3413108,CRAVINHOS,0
29224969,2922,160,0817600,04,MG,3152501,POUSO ALEGRE,1
87085080,8708,160,1017700,01,RS,4307005,ERECHIM,0
85176277,8517,160,0817600,04,MG,3106200,BELO HORIZONTE,0
85415900,8541,160,0817700,04,RS,4310207,IJUI,0
85177900,8517,160,0817700,04,MG,3132404,ITAJUBA,1
85412920,8541,160,0817700,04,SP,3438709,PIRACICABA,1
90181990,9018,160,0817700,04,MG,3101904,ALPINOPOLIS,0
29336929,2933,160,0817800,01,SP,3434401,OSASCO,1
